file,line,original,replacement,compiles,modifies,type,signature
./data/AbstractNaturalIdDataAccess.java,29,this.keysFactory,keysFactory,False,True,UNKNOWN,
./data/AbstractNaturalIdDataAccess.java,37,"keysFactory.createNaturalIdKey( naturalIdValues, persister, session )","keysFactory.createNaturalIdKey( naturalIdValues, persister )",False,True,UNKNOWN,
./data/AbstractNaturalIdDataAccess.java,42,keysFactory.getNaturalIdValues( cacheKey ),keysFactory,False,True,UNKNOWN,
./data/AbstractNaturalIdDataAccess.java,48,"getStorageAccess().putIntoCache( key, value, session )","getStorageAccess().putIntoCache( key, value, session )",True,False,UNKNOWN,62c4bf7465dee249ab00e56506a311b3
./data/AbstractNaturalIdDataAccess.java,49,true,false,True,True,VR,96814d815d9f0385ab3ef660d2608ba8
./data/AbstractNaturalIdDataAccess.java,54,true,false,True,False,VR,62c4bf7465dee249ab00e56506a311b3
./data/AbstractNaturalIdDataAccess.java,59,"getStorageAccess().putIntoCache( key, value, session )","getStorageAccess().putIntoCache( key, value, session )",True,False,UNKNOWN,62c4bf7465dee249ab00e56506a311b3
./data/AbstractNaturalIdDataAccess.java,60,return false;,return true;,True,False,VR,62c4bf7465dee249ab00e56506a311b3
./data/AbstractNaturalIdDataAccess.java,65,false,true,True,True,VR,a51af145a6a5b7550a7dba1726bb1edb
./data/AbstractNaturalIdDataAccess.java,75,clearCache(),clear(),False,True,UNKNOWN,
./data/AddExpression.java,49,left.type == Type.tString,left.type == Type.tString && !right.type.isType(TC_VOID),True,True,UNKNOWN,e7b2a09a9488469cac83f31ef090e4a6
./data/AddExpression.java,49,left.type == Type.tString,left.type == Type.tString || right.type.isType(TC_VOID),True,True,UNKNOWN,8c4da66de260a77e29fea3cae9ff2bdb
./data/AddExpression.java,49,left.type == Type.tString,left.type.isType(TC_VOID),True,True,UNKNOWN,502398074aa40fdc697475de4a9ae23b
./data/AddExpression.java,49,left.type == Type.tString,left.type.isType(TC_VOID),True,True,UNKNOWN,502398074aa40fdc697475de4a9ae23b
./data/AddExpression.java,49,left.type == Type.tString,left.type.isType(TC_VOID),True,True,UNKNOWN,502398074aa40fdc697475de4a9ae23b
./data/AddExpression.java,50,Type.tString,Type.tString.toString(),False,True,UNKNOWN,
./data/AddExpression.java,51,return;,return null;,False,True,UNKNOWN,
./data/AddExpression.java,52,right.type == Type.tString,!right.type.isType(TC_VOID),True,True,UNKNOWN,af513afa4baafaa5eb3624f01efb4d0e
./data/AddExpression.java,52,right.type == Type.tString,right.type == Type.tString && !left.type.isType(TC_VOID),True,True,UNKNOWN,930bffc6c262d31ac00f457a096f49bd
./data/AddExpression.java,52,right.type == Type.tString,right.type.isType(TC_VOID),True,True,UNKNOWN,e3f309c571b1e1f91ae14adfe6262ddf
./data/AddExpression.java,52,right.type == Type.tString,right.type == Type.tString && !left.type.isType(TC_VOID),True,True,UNKNOWN,930bffc6c262d31ac00f457a096f49bd
./data/AddExpression.java,52,right.type == Type.tString,right.type != Type.tString,True,True,OR,bd84b9d759aa07ddb2ba47f32296a27f
./data/AddExpression.java,53,Type.tString,Type.tString,True,False,UNKNOWN,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,54,return,continue,False,True,UNKNOWN,
./data/AddExpression.java,56,"super.selectType(env, ctx, tm)","super.selectType(tm, ctx, env)",False,True,UNKNOWN,
./data/AddExpression.java,61,true,false,True,True,VR,1bc51d72802f656e8e762eeec9ebf463
./data/AddExpression.java,68,"new IntExpression(where, a + b)","new IntExpression(where, a - b)",True,True,OR,c35e7e5a9946b9a114c1d5f33572aaad
./data/AddExpression.java,68,a + b,a - b,True,True,OR,c35e7e5a9946b9a114c1d5f33572aaad
./data/AddExpression.java,68,a + b,b + a,True,True,UNKNOWN,db69b7037ef1ee0d049859c8f2401e4a
./data/AddExpression.java,68,"new IntExpression(where, a + b)","new IntExpression(where, a - b)",True,True,OR,c35e7e5a9946b9a114c1d5f33572aaad
./data/AddExpression.java,71,a + b,a - b,True,True,OR,b972c31a53998b0db4da51430aa9d1b0
./data/AddExpression.java,71,a + b,a - b,True,True,OR,b972c31a53998b0db4da51430aa9d1b0
./data/AddExpression.java,71,"new LongExpression(where, a + b)","new LongExpression(where, a - b)",True,True,OR,b972c31a53998b0db4da51430aa9d1b0
./data/AddExpression.java,71,"new LongExpression(where, a + b)","new LongExpression(where, a - b)",True,True,OR,b972c31a53998b0db4da51430aa9d1b0
./data/AddExpression.java,74,a + b,b + a,True,True,UNKNOWN,9ffae9abed7e96f3054056d93d59eb43
./data/AddExpression.java,74,"new FloatExpression(where, a + b)","new FloatExpression(where, a - b)",True,True,OR,0b6edf7a7a4320c481efb52dc2b150a7
./data/AddExpression.java,74,"new FloatExpression(where, a + b)",new FloatExpression(a + b),False,True,UNKNOWN,
./data/AddExpression.java,74,"new FloatExpression(where, a + b)","new FloatExpression(where, a - b)",True,True,OR,0b6edf7a7a4320c481efb52dc2b150a7
./data/AddExpression.java,77,a + b,a - b,True,True,OR,5af5a364549da9d2a0aee47f39d893ab
./data/AddExpression.java,77,"new DoubleExpression(where, a + b)","new DoubleExpression(where, a - b)",True,True,OR,5af5a364549da9d2a0aee47f39d893ab
./data/AddExpression.java,77,a + b,b + a,True,True,UNKNOWN,ca463b119bf307e93e23b4ee828a337d
./data/AddExpression.java,77,a + b,a - b,True,True,OR,5af5a364549da9d2a0aee47f39d893ab
./data/AddExpression.java,80,a + b,a - b,False,True,OR,
./data/AddExpression.java,90,isConstant(),isConstant() == false,True,True,UNKNOWN,519c9fc0d0564bb58f73e798afd247f8
./data/AddExpression.java,90,type == Type.tString && isConstant(),type == Type.tString && !isConstant(),True,True,OR,519c9fc0d0564bb58f73e798afd247f8
./data/AddExpression.java,90,type == Type.tString && isConstant(),type == Type.tString || isConstant(),True,True,OR,0664b1d4f223319b88c3063a358d5e51
./data/AddExpression.java,90,type == Type.tString && isConstant(),type == Type.tString && !isConstant(),True,True,OR,519c9fc0d0564bb58f73e798afd247f8
./data/AddExpression.java,90,type == Type.tString && isConstant(),type == Type.tString && !isConstant(),True,True,OR,519c9fc0d0564bb58f73e798afd247f8
./data/AddExpression.java,91,"inlineValueSB(env, ctx, new StringBuffer())","inlineValueSB(env, ctx, new StringBuffer())",True,False,UNKNOWN,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,92,buffer != null,buffer == null,True,True,OR,2a8680d50553a4392481b46a36837f15
./data/AddExpression.java,94,buffer.toString(),buffer,False,True,UNKNOWN,
./data/AddExpression.java,99,"super.inlineValue(env, ctx)",super.inlineValue(env),False,True,UNKNOWN,
./data/AddExpression.java,150,type != Type.tString,type == Type.tString,True,True,OR,e35c13106ff82d4e790c3903801ae5ca
./data/AddExpression.java,153,"super.inlineValueSB(env, ctx, buffer)","super.inlineValueSB(env, ctx, buffer)",True,False,UNKNOWN,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,156,"left.inlineValueSB(env, ctx, buffer)","left.inlineValueSB(env, ctx, buffer)",True,False,UNKNOWN,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,157,buffer != null,buffer == null,True,True,OR,941cffac10032ca111c17e49ed4bbd6d
./data/AddExpression.java,158,"right.inlineValueSB(env, ctx, buffer)","right.inlineValueSB(env, ctx, buffer)",True,False,UNKNOWN,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,160,buffer,++buffer,False,True,UNKNOWN,
./data/AddExpression.java,167,!type.isType(TC_CLASS),type.isType(TC_CLASS),True,True,OR,64a8cc2688c4b8064b427893b23862ec
./data/AddExpression.java,167,type.isType(TC_CLASS),type.isType(TC_NULL),True,True,UNKNOWN,1884e3e74d2a831d21f3ea39b8139ee9
./data/AddExpression.java,169,type.inMask(TM_INTEGER),!type.inMask(TM_INTEGER),True,True,OR,7e6c8f1779534fab376b9444efc90d39
./data/AddExpression.java,169,type.inMask(TM_INTEGER),type.inMask(TM_LONG),True,True,UNKNOWN,c011907e7fe0d279f56f6cf7915f6424
./data/AddExpression.java,170,left.equals(0),left.equals(1),True,True,VR,ba40794daa819997258f835193736200
./data/AddExpression.java,170,left.equals(0),left == 0,False,True,UNKNOWN,
./data/AddExpression.java,170,left.equals(0),left.equals(1),True,True,VR,ba40794daa819997258f835193736200
./data/AddExpression.java,170,left.equals(0),left == 0,False,True,UNKNOWN,
./data/AddExpression.java,171,right,left,True,True,UNKNOWN,f2e203567cd9ebc7a5b0e93138443512
./data/AddExpression.java,173,right.equals(0),right == 0,False,True,UNKNOWN,
./data/AddExpression.java,173,right.equals(0),right == 0,False,True,UNKNOWN,
./data/AddExpression.java,173,right.equals(0),right == 0,False,True,UNKNOWN,
./data/AddExpression.java,173,right.equals(0),right == 0,False,True,UNKNOWN,
./data/AddExpression.java,174,left,right,True,True,UNKNOWN,3a8f1e9751977695d1b2c5a51d9b4ab0
./data/AddExpression.java,177,right.type.isType(TC_NULL),!right.type.isType(TC_NULL),True,True,OR,521e43c04a84c2a55c9cc01966980857
./data/AddExpression.java,177,right.type.isType(TC_NULL),right.type.isType(TC_NULL),True,False,UNKNOWN,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,178,right.where,where,True,True,UNKNOWN,431473c8ccc0ff4d95891a7fbfe0852c
./data/AddExpression.java,179,left.type.isType(TC_NULL),!left.type.isType(TC_NULL),True,True,OR,8363f4e08152b389fb9a41ba426502c4
./data/AddExpression.java,179,}} else if (left.type.isType(TC_NULL)) {{,}} else if (left.type.isType(TC_NULL)) {{,True,False,UNKNOWN,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,180,left.where,null,False,True,UNKNOWN,
./data/AddExpression.java,182,this,null,True,True,UNKNOWN,06768cf60cee0b9170626bb45b2ce023
./data/AddExpression.java,189,type.isType(TC_CLASS) ? 12 : 1,type.isType(TC_CLASS) ? 12 : 1,True,False,UNKNOWN,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,189,type.isType(TC_CLASS) ? 12 : 1,!type.isType(TC_CLASS) ? 1 : 12,True,True,UNKNOWN,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,189,type.isType(TC_CLASS) ? 12 : 1,type.isType(TC_CLASS) ? 12 : 0,True,True,VR,1b25b8f2b0aa00ab8b8877e1bb92a8b9
./data/AddExpression.java,189,type.isType(TC_CLASS) ? 12 : 1,12,True,True,VR,83285a0b4129bb99c783c24882d61c27
./data/AddExpression.java,189,type.isType(TC_CLASS) ? 12 : 1,type.isType(TC_CLASS) ? 12 : 0,True,True,VR,1b25b8f2b0aa00ab8b8877e1bb92a8b9
./data/AddExpression.java,189,type.isType(TC_CLASS) ? 12 : 1,type.isType(TC_CLASS),False,True,UNKNOWN,
./data/AddExpression.java,189,type.isType(TC_CLASS) ? 12 : 1,type.isType(TC_CLASS) ? 12 : 1,True,False,UNKNOWN,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,189,type.isType(TC_CLASS) ? 12 : 1,type.isType(TC_CLASS) ? 12 : 0,True,True,VR,1b25b8f2b0aa00ab8b8877e1bb92a8b9
./data/AddExpression.java,189,type.isType(TC_CLASS) ? 12 : 1,type.isType(TC_CLASS) ? 1 : 12,True,True,UNKNOWN,343eac71c0c657e9247da2923242bf1c
