file,line,original,replacement,compiles,modifies,type,signature
./data/AbstractNaturalIdDataAccess.java,29,this.keysFactory,keysFactory,False,True,UNKNOWN,
./data/AbstractNaturalIdDataAccess.java,37,"keysFactory.createNaturalIdKey( naturalIdValues, persister, session )","keysFactory.createNaturalIdKey( naturalIdValues, NaturalIdHelpers.typed( persister ), session )",False,True,UNKNOWN,
./data/AbstractNaturalIdDataAccess.java,42,<FAILED>,<FAILED>,True,False,UNKNOWN,62c4bf7465dee249ab00e56506a311b3
./data/AbstractNaturalIdDataAccess.java,48,"getStorageAccess().getFromCache(key, session)","getStorageAccess().putIntoCache(key, value, session)",True,False,UNKNOWN,62c4bf7465dee249ab00e56506a311b3
./data/AbstractNaturalIdDataAccess.java,49,true,false,True,True,VR,96814d815d9f0385ab3ef660d2608ba8
./data/AbstractNaturalIdDataAccess.java,54,false,true,True,True,VR,554753522503ed408359c2a5e13af64f
./data/AbstractNaturalIdDataAccess.java,59,session,null,True,True,UNKNOWN,cd092a3022941b15c0c842b71b95473b
./data/AbstractNaturalIdDataAccess.java,60,true,false,True,True,VR,70243b9d5093f817d52963e349cd4917
./data/AbstractNaturalIdDataAccess.java,65,return false,false,False,True,VR,
./data/AbstractNaturalIdDataAccess.java,75,clearCache,clearAll,False,True,UNKNOWN,
./data/AddExpression.java,49,(left.type == Type.tString),right.type == Type.tVoid | left.type == Type.tString,True,True,UNKNOWN,9312b9db0749813e1f62dc6f8cdc0d0f
./data/AddExpression.java,49,tString&& !right.type.isType(TC_VOID),tString&& !right.type.isTypeCategory(TC_VOID),True,False,UNKNOWN,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,49,((left.type == Type.tString) && !right.type.isType(TC_VOID)),((left.type == Type.tString) && right.type.isType(TC_VOID)),True,True,OR,7ef1bef4451204285c781c46a25f3d43
./data/AddExpression.java,49,<FAILED>,<FAILED>,True,False,UNKNOWN,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,49,left.type == Type.tString,left.type.isType(TC_ARRAY) == false,True,True,UNKNOWN,b732c583c07c1c5b5acb6495e5971538
./data/AddExpression.java,50,typeof tString,type,True,False,UNKNOWN,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,51,return;,return true;,False,True,UNKNOWN,
./data/AddExpression.java,52,<FAILED>,<FAILED>,True,False,UNKNOWN,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,52,(right.type == Type.tString) && !left.type.isType(TC_VOID),(right.type == Type.tChar) || left.type.isType(TC_VOID),True,True,UNKNOWN,600cf3cd8923463585a4f3c573a830b7
./data/AddExpression.java,52,(right.type == Type.tString) && !left.type.isType(TC_VOID),(right.type != Type.tString) || (left.type.isType(TC_VOID)),True,True,UNKNOWN,70c1aab96095ec4814cac5e6c39bf608
./data/AddExpression.java,52,(right.type == Type.tString) && !left.type.isType(TC_VOID),!exchange.getBatchComplete() || (right.type == Type.tString) && !left.type.isType(TC_VOID) || !ObjectHelper.isEmpty(right.getState()) && right.getState().getFirstname().equals(left.getFirstname()) || right.type == Type.tString,False,True,UNKNOWN,
./data/AddExpression.java,52,((right.type == Type.tString) && !left.type.isType(TC_VOID)),right.type == Type.tString,False,True,UNKNOWN,
./data/AddExpression.java,53,"""tString""","""String""",True,False,VR,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,54,<FAILED>,<FAILED>,True,False,UNKNOWN,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,56,Type,? super Type,False,True,UNKNOWN,
./data/AddExpression.java,61,return true;,return false;,True,True,VR,1bc51d72802f656e8e762eeec9ebf463
./data/AddExpression.java,68,"new IntExpression(where, a + b)","new IntLiteral(where, a + b)",False,True,UNKNOWN,
./data/AddExpression.java,68,a + b,a * b,True,True,OR,cce14ae5614757978a8da08eea96739b
./data/AddExpression.java,68,"new IntExpression(where, a + b)","Expr.make(where, OpCode.Add, left, right)",False,True,UNKNOWN,
./data/AddExpression.java,68,"new IntExpression(where, a + b)","IntExpression.create(where, _binaryExpr)",False,True,UNKNOWN,
./data/AddExpression.java,71,"new LongExpression(where, a + b)","new Add(new Expression[] { new LongExpression(where, a), new LongExpression(where, b) })",False,True,UNKNOWN,
./data/AddExpression.java,71,<FAILED>,<FAILED>,True,False,UNKNOWN,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,71,"new LongExpression(where, a + b)",a+b,False,True,UNKNOWN,
./data/AddExpression.java,71,"new LongExpression(where, a + b)","new DoubleExpression(where, a + b)",True,True,UNKNOWN,7fdd0db83e76d83a5b801b135a304b00
./data/AddExpression.java,74,"new FloatExpression(where, a + b)",a + b,False,True,UNKNOWN,
./data/AddExpression.java,74,a + b,(a + b) == 0,False,True,UNKNOWN,
./data/AddExpression.java,74,"new FloatExpression(where, a + b)","FloatExpression.make(where, a + b)",False,True,UNKNOWN,
./data/AddExpression.java,74,"new FloatExpression(where, a + b)","new FloatExpression(where, a, ""+"", b)",False,True,UNKNOWN,
./data/AddExpression.java,77,a + b,a.add(b),False,True,UNKNOWN,
./data/AddExpression.java,77,a + b,Math.random() > 0.5 ? a : b,True,True,UNKNOWN,03403569afba7b7f4f1283c934b85923
./data/AddExpression.java,77,a + b,b + a,True,True,UNKNOWN,ca463b119bf307e93e23b4ee828a337d
./data/AddExpression.java,77,"new DoubleExpression(where, a + b)",a + b,False,True,UNKNOWN,
./data/AddExpression.java,80,"new StringExpression(where,a + b)","new StringExpression(where,a + b + where)",True,False,UNKNOWN,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,90,<FAILED>,<FAILED>,True,False,UNKNOWN,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,90,type == Type.tString && isConstant(),type != Type.tString && isConstant(),True,True,OR,50cddc12c318473a0af424a6fe3a2b1d
./data/AddExpression.java,90,<FAILED>,<FAILED>,True,False,UNKNOWN,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,90,type == Type.tString && isConstant(),type == Type.tString && isNotConstant(),False,True,UNKNOWN,
./data/AddExpression.java,90,<FAILED>,<FAILED>,True,False,UNKNOWN,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,91,"inlineValueSB(env, ctx, new StringBuffer())","new StringBuffer(inlineValueSB(env, ctx))",False,True,UNKNOWN,
./data/AddExpression.java,92,buffer != null,buffer != null && buffer !=null,True,True,UNKNOWN,cfbec874f3ac3b172e95c34e3bb56095
./data/AddExpression.java,94,where,that,False,True,UNKNOWN,
./data/AddExpression.java,99,null,"super.inlineValue(env, ctx)",True,False,UNKNOWN,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,150,type != Type.tString,!type == Type.tString,False,True,UNKNOWN,
./data/AddExpression.java,153,"super.inlineValueSB(env, ctx, buffer)","super.inlineValue(env, ctx, buffer)",False,True,UNKNOWN,
./data/AddExpression.java,156,left,right,True,True,UNKNOWN,14cf2ca7bdcc8f15a9295a91445ec709
./data/AddExpression.java,157,buffer != null,buffer == null,True,True,OR,941cffac10032ca111c17e49ed4bbd6d
