file,line,original,replacement,compiles,modifies,type,signature
./data/AbstractNaturalIdDataAccess.java,29,keysFactory,getKeysFactory(),False,True,UNKNOWN,
./data/AbstractNaturalIdDataAccess.java,37,"keysFactory.createNaturalIdKey( naturalIdValues, persister, session )","keysFactory.createNaturalIdKey( session, naturalIdValues, persister )",False,True,UNKNOWN,
./data/AbstractNaturalIdDataAccess.java,42,keysFactory.getNaturalIdValues( cacheKey ),keysFactory,False,True,UNKNOWN,
./data/AbstractNaturalIdDataAccess.java,48,"getStorageAccess().putIntoCache(key, value, session)","getStorageAccess().putIntoCache(key, value, null)",True,False,UNKNOWN,62c4bf7465dee249ab00e56506a311b3
./data/AbstractNaturalIdDataAccess.java,49,true,false,True,True,VR,96814d815d9f0385ab3ef660d2608ba8
./data/AbstractNaturalIdDataAccess.java,54,true;,true,True,False,VR,62c4bf7465dee249ab00e56506a311b3
./data/AbstractNaturalIdDataAccess.java,59,"getStorageAccess().putIntoCache( key, value, session )","getStorageAccess().putIntoCache( key, value, valueType, session )",False,True,UNKNOWN,
./data/AbstractNaturalIdDataAccess.java,60,true,false,True,True,VR,70243b9d5093f817d52963e349cd4917
./data/AbstractNaturalIdDataAccess.java,65,true,false,True,False,VR,62c4bf7465dee249ab00e56506a311b3
./data/AbstractNaturalIdDataAccess.java,75,clearCache(),clear(),False,True,UNKNOWN,
./data/AddExpression.java,49,left.type == Type.tString,!left.type == Type.tString,False,True,OR,
./data/AddExpression.java,49,left.type == Type.tString,left.type.isType(TC_STRING) || right.type.isType(TC_STRING),False,True,UNKNOWN,
./data/AddExpression.java,49,!right.type.isType(TC_VOID),right.type.isType(TC_VOID),True,True,OR,7ef1bef4451204285c781c46a25f3d43
./data/AddExpression.java,49,left.type == Type.tString,(!left.type.isType(TC_VOID) && (right.type == Type.tString),False,True,UNKNOWN,
./data/AddExpression.java,49,left.type == Type.tString && !right.type.isType(TC_VOID),left.type == Type.tString && right.type.isType(TC_VOID),True,False,OR,c963de68d55c6253fe0f97450ed237d7
