file,line,original,replacement,compiles,modifies,type,signature
./data/AbstractNaturalIdDataAccess.java,29,this.keysFactory = keysFactory,keysFactory,False,True,UNKNOWN,
./data/AbstractNaturalIdDataAccess.java,37,"keysFactory.createNaturalIdKey( naturalIdValues, persister, session )","keysFactory.createNaturalIdKey( newCommonCollectionStaff.values(), persister, session)",False,True,UNKNOWN,
./data/AbstractNaturalIdDataAccess.java,42,cacheKey,"""abc""",True,True,VR,ac392e6215358fd5d675fc1e3d67ab04
./data/AbstractNaturalIdDataAccess.java,48,<FAILED>,<FAILED>,True,False,UNKNOWN,62c4bf7465dee249ab00e56506a311b3
./data/AbstractNaturalIdDataAccess.java,49,true,false,True,True,VR,96814d815d9f0385ab3ef660d2608ba8
./data/AbstractNaturalIdDataAccess.java,54,"""return false;""","""return true;""",True,False,VR,62c4bf7465dee249ab00e56506a311b3
./data/AbstractNaturalIdDataAccess.java,59,session,value,False,True,UNKNOWN,
./data/AbstractNaturalIdDataAccess.java,60,false,true,True,False,VR,62c4bf7465dee249ab00e56506a311b3
./data/AbstractNaturalIdDataAccess.java,65,<FAILED>,<FAILED>,True,False,UNKNOWN,62c4bf7465dee249ab00e56506a311b3
./data/AbstractNaturalIdDataAccess.java,75,<FAILED>,<FAILED>,True,False,UNKNOWN,62c4bf7465dee249ab00e56506a311b3
./data/AddExpression.java,49,right.type.isType(TC_VOID),!right.type.isType(TC_VOID),True,True,OR,7ef1bef4451204285c781c46a25f3d43
./data/AddExpression.java,49,false,left.type == Type.tString,True,False,UNKNOWN,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,49,Type.tString,Type.tLong,True,True,UNKNOWN,92620501d045786d22d4ce50ebe2f1ac
./data/AddExpression.java,49,(left.type == Type.tString) && !right.type.isType(TC_VOID),(left.type == Type.tString) && right.type.isType(TC_VOID),True,True,OR,7ef1bef4451204285c781c46a25f3d43
./data/AddExpression.java,49,left.type == Type.tString,right.type.isType(TC_VOID),True,True,UNKNOWN,e42756c6c06042a9f750cc47ec2d1753
./data/AddExpression.java,50,Type.tString,Type.String,False,True,UNKNOWN,
./data/AddExpression.java,51,++return;,--return;,True,False,UNKNOWN,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,52,"""tString""","""tVoid""",True,False,VR,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,52,right.type == Type.tString,left.type.isType(TC_VOID),True,True,UNKNOWN,65f53cf7a3ea1045792c9e131d9f4029
./data/AddExpression.java,52,"right.type, left.type.isType(TC_VOID)","right.type, left.type",True,False,UNKNOWN,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,52,left.type.isType(TC_VOID),right.type.isType(TC_VOID),True,True,UNKNOWN,e5802f91a607c401ea0e5ef83d35486f
./data/AddExpression.java,52,left.type.isType(TC_VOID),!left.type.isType(TC_VOID),True,True,OR,5a812141eaabe3011e4c87a854bad608
./data/AddExpression.java,53,Type.tString,Type.tInt,True,True,UNKNOWN,17d3a6911fc8b758218a540bc56d55bc
./data/AddExpression.java,54,return;,throw new IllegalStateException ;,False,True,UNKNOWN,
./data/AddExpression.java,56,<FAILED>,<FAILED>,True,False,UNKNOWN,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,61,false,`,True,False,UNKNOWN,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,68,"""return new IntExpression(where, a + b)""","""return new IntExpression(where, a - b)""",True,False,OR,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,68,"new IntExpression(where, a + b);","new IntExpression(where, a + c);",False,True,UNKNOWN,
./data/AddExpression.java,68,a + b,a - b,True,True,OR,c35e7e5a9946b9a114c1d5f33572aaad
./data/AddExpression.java,68,"new IntExpression(where, a + b);","new IntegerExpression(where, a + b);",False,True,UNKNOWN,
./data/AddExpression.java,71,"new LongExpression(where, a + b)","new LongExpression(where, a - b)",True,True,OR,b972c31a53998b0db4da51430aa9d1b0
./data/AddExpression.java,71,"new LongExpression(where, a + b)","new LongExpression(where, a * b)",True,True,OR,171ede47aefd1c0e54e94fa760bc6298
./data/AddExpression.java,71,"new LongExpression(where, a + b)","new LongExpression(where, a * b)",True,True,OR,171ede47aefd1c0e54e94fa760bc6298
./data/AddExpression.java,71,a + b,a - b,True,True,OR,b972c31a53998b0db4da51430aa9d1b0
./data/AddExpression.java,74,"new FloatExpression(where, a + b)","new FloatExpression(where, a + c)",False,True,UNKNOWN,
./data/AddExpression.java,74,return new FloatExpression(a + b),"return new FloatExpression(a, b)",True,False,UNKNOWN,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,74,"new FloatExpression(where, a + b)",new FloatExpression(a + b),False,True,UNKNOWN,
./data/AddExpression.java,74,"new FloatExpression(where, a + b)","new FloatExpression(where, a * b * c * d * other * a * b * d * f * g * h * j * k * l * m * n * o * e * y * v)",False,True,UNKNOWN,
./data/AddExpression.java,77,<FAILED>,<FAILED>,True,False,UNKNOWN,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,77,a + b,b + a,True,True,UNKNOWN,ca463b119bf307e93e23b4ee828a337d
./data/AddExpression.java,77,a + b,a * b,True,True,OR,ce06edef9fa6bc046f6e60b7c6ac92e7
./data/AddExpression.java,77,a + b,a - b,True,True,OR,5af5a364549da9d2a0aee47f39d893ab
./data/AddExpression.java,80,"new StringExpression(where, a + b)","new StringExpression(where, a - b)",False,True,OR,
./data/AddExpression.java,90,Type.tString && isConstant(),Type.tString,True,True,UNKNOWN,c8cc9cbe1f051b7e6e3c167b006eeb0d
./data/AddExpression.java,90,type == Type.tString && isConstant(),!type == Type.tString && isConstant(),False,True,OR,
./data/AddExpression.java,90,<FAILED>,<FAILED>,True,False,UNKNOWN,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,90,"""tString""","""tInteger""",True,False,VR,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,90,<FAILED>,<FAILED>,True,False,UNKNOWN,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,91,"inlineValueSB(env, ctx, new StringBuffer())","inlineValueSB(env, ctx, buffer)",False,True,UNKNOWN,
./data/AddExpression.java,92,buffer != null,buffer != null && foo != null,False,True,UNKNOWN,
./data/AddExpression.java,94,"new StringExpression(where, buffer.toString())","new StringExpression(where, """")",True,True,VR,e9b4579051393622d2b42d99f335f77b
./data/AddExpression.java,99,"super.inlineValue(env, ctx)",'',False,True,UNKNOWN,
./data/AddExpression.java,150,CallerContext.fatal(errorMsg);,CallerContext.getInstance().fatal(errorMsg);,True,False,UNKNOWN,c963de68d55c6253fe0f97450ed237d7
